video_id,topic_id
vid_ch_mei_0,t_quick_explainer
vid_ch_mei_1,t_editing
vid_ch_ray_0,t_onetake
vid_ch_ray_1,t_ambient
vid_ch_kai_0,t_quick_explainer
vid_ch_kai_1,t_editing
vid_ch_kai_2,t_onetake
vid_ch_nova_0,t_citydata
vid_ch_nova_1,t_agents
vid_ch_aki_0,t_editing
vid_ch_aki_1,t_quick_explainer
vid_ch_aki_2,t_editing
vid_ch_aki_3,t_hooks
vid_ch_juno_0,t_agents
vid_ch_juno_1,t_essay
vid_ch_pix_0,t_citydata
vid_ch_pix_1,t_agents
vid_ch_pix_2,t_citydata
vid_ch_pix_3,t_agents
vid_ch_vera_0,t_ambient
vid_ch_vera_1,t_ambient
vid_ch_s00_0,t_hooks
vid_ch_s00_1,t_quick_explainer
vid_ch_s01_0,t_quick_explainer
vid_ch_s01_1,t_citydata
vid_ch_s01_2,t_onetake
vid_ch_s01_3,t_onetake
vid_ch_s02_0,t_citydata
vid_ch_s02_1,t_agents
vid_ch_s02_2,t_agents
vid_ch_s03_0,t_quick_explainer
vid_ch_s03_1,t_hooks
vid_ch_s04_0,t_essay
vid_ch_s04_1,t_essay
vid_ch_s04_2,t_onetake
vid_ch_s05_0,t_agents
vid_ch_s05_1,t_agents
vid_ch_s05_2,t_agents
vid_ch_s06_0,t_ambient
vid_ch_s06_1,t_hooks
vid_ch_s06_2,t_editing
vid_ch_s07_0,t_onetake
vid_ch_s07_1,t_ambient
vid_ch_s08_0,t_citydata
vid_ch_s08_1,t_citydata
vid_ch_s08_2,t_citydata
vid_ch_s09_0,t_quick_explainer
vid_ch_s09_1,t_editing
vid_ch_s10_0,t_quick_explainer
vid_ch_s10_1,t_ambient
vid_ch_s11_0,t_ambient
vid_ch_s11_1,t_citydata
vid_ch_s11_2,t_agents
vid_ch_s11_3,t_agents
vid_ch_s12_0,t_hooks
vid_ch_s12_1,t_editing
vid_ch_s12_2,t_agents
vid_ch_s12_3,t_hooks
vid_ch_s13_0,t_essay
vid_ch_s13_1,t_quick_explainer
vid_ch_s14_0,t_quick_explainer
vid_ch_s14_1,t_agents
vid_ch_s15_0,t_quick_explainer
vid_ch_s15_1,t_quick_explainer
vid_ch_s16_0,t_editing
vid_ch_s16_1,t_essay
vid_ch_s16_2,t_essay
vid_ch_s17_0,t_citydata
vid_ch_s17_1,t_citydata
vid_ch_s18_0,t_quick_explainer
vid_ch_s18_1,t_editing
vid_ch_s18_2,t_editing
vid_ch_s19_0,t_onetake
vid_ch_s19_1,t_ambient
vid_ch_s19_2,t_essay
vid_ch_s19_3,t_onetake
vid_ch_s20_0,t_citydata
vid_ch_s20_1,t_agents
vid_ch_s20_2,t_agents
vid_ch_s21_0,t_editing
vid_ch_s21_1,t_hooks
vid_ch_s21_2,t_onetake
