id,handle,cluster
ch_mei,mei,quickcut
ch_ray,ray,slowburn
ch_kai,kai,quickcut
ch_nova,nova,mixed
ch_aki,aki,quickcut
ch_juno,juno,slowburn
ch_pix,pix,mixed
ch_vera,vera,slowburn
ch_s00,syn_ch00,quickcut
ch_s01,syn_ch01,slowburn
ch_s02,syn_ch02,mixed
ch_s03,syn_ch03,quickcut
ch_s04,syn_ch04,slowburn
ch_s05,syn_ch05,mixed
ch_s06,syn_ch06,quickcut
ch_s07,syn_ch07,slowburn
ch_s08,syn_ch08,mixed
ch_s09,syn_ch09,quickcut
ch_s10,syn_ch10,slowburn
ch_s11,syn_ch11,mixed
ch_s12,syn_ch12,quickcut
ch_s13,syn_ch13,slowburn
ch_s14,syn_ch14,mixed
ch_s15,syn_ch15,quickcut
ch_s16,syn_ch16,slowburn
ch_s17,syn_ch17,mixed
ch_s18,syn_ch18,quickcut
ch_s19,syn_ch19,slowburn
ch_s20,syn_ch20,mixed
ch_s21,syn_ch21,quickcut
