id,creator_id,title,duration_ms
vid_ch_mei_0,ch_mei,mei short #0,9000
vid_ch_mei_1,ch_mei,mei short #1,9000
vid_ch_ray_0,ch_ray,ray short #0,18000
vid_ch_ray_1,ch_ray,ray short #1,12000
vid_ch_kai_0,ch_kai,kai short #0,12000
vid_ch_kai_1,ch_kai,kai short #1,15000
vid_ch_kai_2,ch_kai,kai short #2,9000
vid_ch_nova_0,ch_nova,nova short #0,18000
vid_ch_nova_1,ch_nova,nova short #1,12000
vid_ch_aki_0,ch_aki,aki short #0,9000
vid_ch_aki_1,ch_aki,aki short #1,12000
vid_ch_aki_2,ch_aki,aki short #2,12000
vid_ch_aki_3,ch_aki,aki short #3,15000
vid_ch_juno_0,ch_juno,juno short #0,12000
vid_ch_juno_1,ch_juno,juno short #1,9000
vid_ch_pix_0,ch_pix,pix short #0,18000
vid_ch_pix_1,ch_pix,pix short #1,12000
vid_ch_pix_2,ch_pix,pix short #2,15000
vid_ch_pix_3,ch_pix,pix short #3,9000
vid_ch_vera_0,ch_vera,vera short #0,12000
vid_ch_vera_1,ch_vera,vera short #1,15000
vid_ch_s00_0,ch_s00,syn_ch00 short #0,12000
vid_ch_s00_1,ch_s00,syn_ch00 short #1,15000
vid_ch_s01_0,ch_s01,syn_ch01 short #0,18000
vid_ch_s01_1,ch_s01,syn_ch01 short #1,18000
vid_ch_s01_2,ch_s01,syn_ch01 short #2,18000
vid_ch_s01_3,ch_s01,syn_ch01 short #3,12000
vid_ch_s02_0,ch_s02,syn_ch02 short #0,12000
vid_ch_s02_1,ch_s02,syn_ch02 short #1,9000
vid_ch_s02_2,ch_s02,syn_ch02 short #2,15000
vid_ch_s03_0,ch_s03,syn_ch03 short #0,18000
vid_ch_s03_1,ch_s03,syn_ch03 short #1,9000
vid_ch_s04_0,ch_s04,syn_ch04 short #0,15000
vid_ch_s04_1,ch_s04,syn_ch04 short #1,18000
vid_ch_s04_2,ch_s04,syn_ch04 short #2,12000
vid_ch_s05_0,ch_s05,syn_ch05 short #0,9000
vid_ch_s05_1,ch_s05,syn_ch05 short #1,12000
vid_ch_s05_2,ch_s05,syn_ch05 short #2,15000
vid_ch_s06_0,ch_s06,syn_ch06 short #0,15000
vid_ch_s06_1,ch_s06,syn_ch06 short #1,15000
vid_ch_s06_2,ch_s06,syn_ch06 short #2,12000
vid_ch_s07_0,ch_s07,syn_ch07 short #0,18000
vid_ch_s07_1,ch_s07,syn_ch07 short #1,18000
vid_ch_s08_0,ch_s08,syn_ch08 short #0,15000
vid_ch_s08_1,ch_s08,syn_ch08 short #1,15000
vid_ch_s08_2,ch_s08,syn_ch08 short #2,15000
vid_ch_s09_0,ch_s09,syn_ch09 short #0,12000
vid_ch_s09_1,ch_s09,syn_ch09 short #1,15000
vid_ch_s10_0,ch_s10,syn_ch10 short #0,18000
vid_ch_s10_1,ch_s10,syn_ch10 short #1,12000
vid_ch_s11_0,ch_s11,syn_ch11 short #0,9000
vid_ch_s11_1,ch_s11,syn_ch11 short #1,18000
vid_ch_s11_2,ch_s11,syn_ch11 short #2,18000
vid_ch_s11_3,ch_s11,syn_ch11 short #3,12000
vid_ch_s12_0,ch_s12,syn_ch12 short #0,9000
vid_ch_s12_1,ch_s12,syn_ch12 short #1,18000
vid_ch_s12_2,ch_s12,syn_ch12 short #2,18000
vid_ch_s12_3,ch_s12,syn_ch12 short #3,9000
vid_ch_s13_0,ch_s13,syn_ch13 short #0,15000
vid_ch_s13_1,ch_s13,syn_ch13 short #1,15000
vid_ch_s14_0,ch_s14,syn_ch14 short #0,18000
vid_ch_s14_1,ch_s14,syn_ch14 short #1,18000
vid_ch_s15_0,ch_s15,syn_ch15 short #0,12000
vid_ch_s15_1,ch_s15,syn_ch15 short #1,18000
vid_ch_s16_0,ch_s16,syn_ch16 short #0,12000
vid_ch_s16_1,ch_s16,syn_ch16 short #1,15000
vid_ch_s16_2,ch_s16,syn_ch16 short #2,18000
vid_ch_s17_0,ch_s17,syn_ch17 short #0,12000
vid_ch_s17_1,ch_s17,syn_ch17 short #1,12000
vid_ch_s18_0,ch_s18,syn_ch18 short #0,15000
vid_ch_s18_1,ch_s18,syn_ch18 short #1,18000
vid_ch_s18_2,ch_s18,syn_ch18 short #2,12000
vid_ch_s19_0,ch_s19,syn_ch19 short #0,12000
vid_ch_s19_1,ch_s19,syn_ch19 short #1,12000
vid_ch_s19_2,ch_s19,syn_ch19 short #2,18000
vid_ch_s19_3,ch_s19,syn_ch19 short #3,9000
vid_ch_s20_0,ch_s20,syn_ch20 short #0,18000
vid_ch_s20_1,ch_s20,syn_ch20 short #1,18000
vid_ch_s20_2,ch_s20,syn_ch20 short #2,12000
vid_ch_s21_0,ch_s21,syn_ch21 short #0,15000
vid_ch_s21_1,ch_s21,syn_ch21 short #1,15000
vid_ch_s21_2,ch_s21,syn_ch21 short #2,15000
