id,cluster
vw_000,quickcut
vw_001,slowburn
vw_002,mixed
vw_003,quickcut
vw_004,slowburn
vw_005,mixed
vw_006,quickcut
vw_007,slowburn
vw_008,mixed
vw_009,quickcut
vw_010,slowburn
vw_011,mixed
vw_012,quickcut
vw_013,slowburn
vw_014,mixed
vw_015,quickcut
vw_016,slowburn
vw_017,mixed
vw_018,quickcut
vw_019,slowburn
vw_020,mixed
vw_021,quickcut
vw_022,slowburn
vw_023,mixed
vw_024,quickcut
vw_025,slowburn
vw_026,mixed
vw_027,quickcut
vw_028,slowburn
vw_029,mixed
vw_030,quickcut
vw_031,slowburn
vw_032,mixed
vw_033,quickcut
vw_034,slowburn
vw_035,mixed
vw_036,quickcut
vw_037,slowburn
vw_038,mixed
vw_039,quickcut
vw_040,slowburn
vw_041,mixed
vw_042,quickcut
vw_043,slowburn
vw_044,mixed
vw_045,quickcut
vw_046,slowburn
vw_047,mixed
vw_048,quickcut
vw_049,slowburn
vw_050,mixed
vw_051,quickcut
vw_052,slowburn
vw_053,mixed
vw_054,quickcut
vw_055,slowburn
vw_056,mixed
vw_057,quickcut
vw_058,slowburn
vw_059,mixed
vw_060,quickcut
vw_061,slowburn
vw_062,mixed
vw_063,quickcut
vw_064,slowburn
vw_065,mixed
vw_066,quickcut
vw_067,slowburn
vw_068,mixed
vw_069,quickcut
vw_070,slowburn
vw_071,mixed
vw_072,quickcut
vw_073,slowburn
vw_074,mixed
vw_075,quickcut
vw_076,slowburn
vw_077,mixed
vw_078,quickcut
vw_079,slowburn
vw_080,mixed
vw_081,quickcut
vw_082,slowburn
vw_083,mixed
vw_084,quickcut
vw_085,slowburn
vw_086,mixed
vw_087,quickcut
vw_088,slowburn
vw_089,mixed
vw_090,quickcut
vw_091,slowburn
vw_092,mixed
vw_093,quickcut
vw_094,slowburn
vw_095,mixed
vw_096,quickcut
vw_097,slowburn
vw_098,mixed
vw_099,quickcut
vw_100,slowburn
vw_101,mixed
vw_102,quickcut
vw_103,slowburn
vw_104,mixed
vw_105,quickcut
vw_106,slowburn
vw_107,mixed
vw_108,quickcut
vw_109,slowburn
vw_110,mixed
vw_111,quickcut
vw_112,slowburn
vw_113,mixed
vw_114,quickcut
vw_115,slowburn
vw_116,mixed
vw_117,quickcut
vw_118,slowburn
vw_119,mixed
vw_120,quickcut
vw_121,slowburn
vw_122,mixed
vw_123,quickcut
vw_124,slowburn
vw_125,mixed
vw_126,quickcut
vw_127,slowburn
vw_128,mixed
vw_129,quickcut
vw_130,slowburn
vw_131,mixed
vw_132,quickcut
vw_133,slowburn
vw_134,mixed
vw_135,quickcut
vw_136,slowburn
vw_137,mixed
vw_138,quickcut
vw_139,slowburn
vw_140,mixed
vw_141,quickcut
vw_142,slowburn
vw_143,mixed
vw_144,quickcut
vw_145,slowburn
vw_146,mixed
vw_147,quickcut
vw_148,slowburn
vw_149,mixed
vw_150,quickcut
vw_151,slowburn
vw_152,mixed
vw_153,quickcut
vw_154,slowburn
vw_155,mixed
vw_156,quickcut
vw_157,slowburn
vw_158,mixed
vw_159,quickcut
vw_160,slowburn
vw_161,mixed
vw_162,quickcut
vw_163,slowburn
vw_164,mixed
vw_165,quickcut
vw_166,slowburn
vw_167,mixed
vw_168,quickcut
vw_169,slowburn
vw_170,mixed
vw_171,quickcut
vw_172,slowburn
vw_173,mixed
vw_174,quickcut
vw_175,slowburn
vw_176,mixed
vw_177,quickcut
vw_178,slowburn
vw_179,mixed
vw_180,quickcut
vw_181,slowburn
vw_182,mixed
vw_183,quickcut
vw_184,slowburn
vw_185,mixed
vw_186,quickcut
vw_187,slowburn
vw_188,mixed
vw_189,quickcut
vw_190,slowburn
vw_191,mixed
vw_192,quickcut
vw_193,slowburn
vw_194,mixed
vw_195,quickcut
vw_196,slowburn
vw_197,mixed
vw_198,quickcut
vw_199,slowburn
