viewer_id,video_id,watched_ms,drop_ms,completed,is_synthetic
vw_000,vid_ch_aki_2,4908,4908,false,true
vw_000,vid_ch_s11_3,5162,5162,false,true
vw_000,vid_ch_juno_0,6446,6446,false,true
vw_000,vid_ch_s08_0,5694,5694,false,true
vw_000,vid_ch_s09_1,15000,,true,true
vw_000,vid_ch_s05_2,7786,7786,false,true
vw_000,vid_ch_s10_1,2688,2688,false,true
vw_000,vid_ch_ray_1,7764,7764,false,true
vw_000,vid_ch_kai_1,15000,,true,true
vw_000,vid_ch_s12_2,6513,6513,false,true
vw_000,vid_ch_s12_0,9000,,true,true
vw_000,vid_ch_s20_0,18000,,true,true
vw_000,vid_ch_s05_1,6805,6805,false,true
vw_000,vid_ch_s02_1,3940,3940,false,true
vw_000,vid_ch_s06_1,9033,9033,false,true
vw_001,vid_ch_s08_2,6049,6049,false,true
vw_001,vid_ch_s12_2,18000,,true,true
vw_001,vid_ch_s14_1,4450,4450,false,true
vw_001,vid_ch_s08_1,7180,7180,false,true
vw_001,vid_ch_nova_0,9799,9799,false,true
vw_001,vid_ch_s11_1,18000,,true,true
vw_001,vid_ch_s21_0,15000,,true,true
vw_001,vid_ch_s15_0,3036,3036,false,true
vw_001,vid_ch_kai_2,3401,3401,false,true
vw_001,vid_ch_s03_1,1376,1376,false,true
vw_001,vid_ch_s13_1,8748,8748,false,true
vw_001,vid_ch_s20_0,6803,6803,false,true
vw_001,vid_ch_pix_0,6916,6916,false,true
vw_002,vid_ch_s20_0,18000,,true,true
vw_002,vid_ch_kai_1,15000,,true,true
vw_002,vid_ch_s20_1,9909,9909,false,true
vw_002,vid_ch_s12_3,9000,,true,true
vw_002,vid_ch_s15_0,5662,5662,false,true
vw_002,vid_ch_s16_2,6908,6908,false,true
vw_002,vid_ch_juno_0,12000,,true,true
vw_002,vid_ch_s04_1,8285,8285,false,true
vw_002,vid_ch_s04_2,5581,5581,false,true
vw_002,vid_ch_vera_0,3657,3657,false,true
vw_002,vid_ch_s21_0,6056,6056,false,true
vw_002,vid_ch_s01_3,4673,4673,false,true
vw_002,vid_ch_s09_0,6388,6388,false,true
vw_002,vid_ch_vera_1,6767,6767,false,true
vw_002,vid_ch_s08_0,8433,8433,false,true
vw_002,vid_ch_s00_1,6086,6086,false,true
vw_002,vid_ch_s10_0,8743,8743,false,true
vw_002,vid_ch_mei_0,5455,5455,false,true
vw_002,vid_ch_pix_1,6716,6716,false,true
vw_002,vid_ch_s20_2,12000,,true,true
vw_002,vid_ch_s12_0,3173,3173,false,true
vw_002,vid_ch_s01_2,8710,8710,false,true
vw_002,vid_ch_s19_0,4752,4752,false,true
vw_002,vid_ch_s11_1,18000,,true,true
vw_003,vid_ch_s11_1,18000,,true,true
vw_003,vid_ch_nova_1,12000,,true,true
vw_003,vid_ch_s16_0,12000,,true,true
vw_003,vid_ch_s11_2,4391,4391,false,true
vw_003,vid_ch_s02_0,3873,3873,false,true
vw_003,vid_ch_s21_1,6630,6630,false,true
vw_003,vid_ch_s11_3,3064,3064,false,true
vw_003,vid_ch_s05_0,9000,,true,true
vw_003,vid_ch_s00_0,1970,1970,false,true
vw_003,vid_ch_pix_3,4005,4005,false,true
vw_003,vid_ch_s05_2,15000,,true,true
vw_003,vid_ch_s20_0,11392,11392,false,true
vw_003,vid_ch_s17_1,4544,4544,false,true
vw_003,vid_ch_s04_0,4324,4324,false,true
vw_003,vid_ch_s16_1,8144,8144,false,true
vw_003,vid_ch_s05_1,12000,,true,true
vw_004,vid_ch_s01_1,6082,6082,false,true
vw_004,vid_ch_vera_0,12000,,true,true
vw_004,vid_ch_s21_1,15000,,true,true
vw_004,vid_ch_vera_1,2588,2588,false,true
vw_004,vid_ch_aki_2,6880,6880,false,true
vw_004,vid_ch_s16_2,9429,9429,false,true
vw_004,vid_ch_s06_2,12000,,true,true
vw_004,vid_ch_s08_1,3712,3712,false,true
vw_004,vid_ch_s12_1,7353,7353,false,true
vw_004,vid_ch_s20_1,18000,,true,true
vw_004,vid_ch_ray_1,12000,,true,true
vw_004,vid_ch_s07_1,18000,,true,true
vw_004,vid_ch_s14_0,5510,5510,false,true
vw_005,vid_ch_s15_0,6816,6816,false,true
vw_005,vid_ch_s06_1,9513,9513,false,true
vw_005,vid_ch_s09_0,2909,2909,false,true
vw_005,vid_ch_s20_0,18000,,true,true
vw_005,vid_ch_s12_1,9138,9138,false,true
vw_005,vid_ch_s12_3,1852,1852,false,true
vw_005,vid_ch_s10_1,2824,2824,false,true
vw_005,vid_ch_s10_0,7087,7087,false,true
vw_005,vid_ch_s18_2,2376,2376,false,true
vw_005,vid_ch_s04_1,4368,4368,false,true
vw_005,vid_ch_aki_1,4443,4443,false,true
vw_005,vid_ch_aki_0,3188,3188,false,true
vw_005,vid_ch_s07_1,2838,2838,false,true
vw_005,vid_ch_s21_0,7879,7879,false,true
vw_005,vid_ch_s14_1,4496,4496,false,true
vw_005,vid_ch_s01_1,18000,,true,true
vw_005,vid_ch_s16_1,5863,5863,false,true
vw_005,vid_ch_mei_0,1659,1659,false,true
vw_005,vid_ch_s05_2,15000,,true,true
vw_005,vid_ch_pix_1,12000,,true,true
vw_005,vid_ch_s03_0,6200,6200,false,true
vw_005,vid_ch_s21_1,5165,5165,false,true
vw_005,vid_ch_s01_0,5515,5515,false,true
vw_005,vid_ch_s08_0,15000,,true,true
vw_006,vid_ch_s06_1,15000,,true,true
vw_006,vid_ch_ray_0,11182,11182,false,true
vw_006,vid_ch_s03_1,9000,,true,true
vw_006,vid_ch_kai_0,12000,,true,true
vw_006,vid_ch_s15_1,6783,6783,false,true
vw_006,vid_ch_s19_1,5420,5420,false,true
vw_006,vid_ch_s19_0,12000,,true,true
vw_006,vid_ch_s17_0,12000,,true,true
vw_006,vid_ch_s14_1,5700,5700,false,true
vw_006,vid_ch_s14_0,6463,6463,false,true
vw_006,vid_ch_s05_0,4720,4720,false,true
vw_006,vid_ch_s01_0,18000,,true,true
vw_006,vid_ch_kai_1,3998,3998,false,true
vw_007,vid_ch_s12_1,5268,5268,false,true
vw_007,vid_ch_kai_0,6887,6887,false,true
vw_007,vid_ch_juno_0,4643,4643,false,true
vw_007,vid_ch_s07_0,9122,9122,false,true
vw_007,vid_ch_s16_1,6836,6836,false,true
vw_007,vid_ch_s05_0,2275,2275,false,true
vw_007,vid_ch_s21_2,9445,9445,false,true
vw_007,vid_ch_s12_2,6623,6623,false,true
vw_007,vid_ch_kai_1,7151,7151,false,true
vw_007,vid_ch_aki_2,6014,6014,false,true
vw_007,vid_ch_s05_1,4464,4464,false,true
vw_007,vid_ch_s19_3,9000,,true,true
vw_007,vid_ch_s07_1,18000,,true,true
vw_007,vid_ch_mei_0,4143,4143,false,true
vw_007,vid_ch_s18_2,5144,5144,false,true
vw_007,vid_ch_mei_1,4794,4794,false,true
vw_007,vid_ch_s06_2,6405,6405,false,true
vw_007,vid_ch_s01_2,2895,2895,false,true
vw_007,vid_ch_s00_1,15000,,true,true
vw_007,vid_ch_s03_0,4779,4779,false,true
vw_008,vid_ch_ray_0,18000,,true,true
vw_008,vid_ch_s01_2,9159,9159,false,true
vw_008,vid_ch_s12_3,5245,5245,false,true
vw_008,vid_ch_s00_1,15000,,true,true
vw_008,vid_ch_s09_1,15000,,true,true
vw_008,vid_ch_pix_2,15000,,true,true
vw_008,vid_ch_kai_1,5659,5659,false,true
vw_008,vid_ch_s05_1,12000,,true,true
vw_008,vid_ch_s00_0,2782,2782,false,true
vw_008,vid_ch_nova_1,4690,4690,false,true
vw_008,vid_ch_s05_2,6319,6319,false,true
vw_008,vid_ch_s18_0,5988,5988,false,true
vw_008,vid_ch_aki_0,2713,2713,false,true
vw_009,vid_ch_aki_2,5842,5842,false,true
vw_009,vid_ch_kai_2,9000,,true,true
vw_009,vid_ch_s02_2,5894,5894,false,true
vw_009,vid_ch_s21_0,15000,,true,true
vw_009,vid_ch_s06_2,2201,2201,false,true
vw_009,vid_ch_pix_0,3209,3209,false,true
vw_009,vid_ch_s20_0,18000,,true,true
vw_009,vid_ch_s05_1,12000,,true,true
vw_009,vid_ch_s10_0,11619,11619,false,true
vw_009,vid_ch_s18_0,15000,,true,true
vw_009,vid_ch_vera_0,12000,,true,true
vw_009,vid_ch_s05_0,1927,1927,false,true
vw_009,vid_ch_s04_0,9337,9337,false,true
vw_009,vid_ch_s00_1,15000,,true,true
vw_009,vid_ch_s18_2,12000,,true,true
vw_009,vid_ch_aki_3,15000,,true,true
vw_009,vid_ch_s11_2,4863,4863,false,true
vw_009,vid_ch_s03_0,2997,2997,false,true
vw_009,vid_ch_nova_0,4447,4447,false,true
vw_009,vid_ch_vera_1,9131,9131,false,true
vw_009,vid_ch_s08_0,6359,6359,false,true
vw_010,vid_ch_s07_1,6463,6463,false,true
vw_010,vid_ch_s10_1,4223,4223,false,true
vw_010,vid_ch_s21_1,6575,6575,false,true
vw_010,vid_ch_s08_0,7294,7294,false,true
vw_010,vid_ch_s11_3,12000,,true,true
vw_010,vid_ch_s04_0,15000,,true,true
vw_010,vid_ch_s16_2,18000,,true,true
vw_010,vid_ch_s13_1,4095,4095,false,true
vw_010,vid_ch_s13_0,15000,,true,true
vw_010,vid_ch_ray_0,18000,,true,true
vw_010,vid_ch_s20_1,8891,8891,false,true
vw_010,vid_ch_juno_0,2656,2656,false,true
vw_010,vid_ch_s00_1,8027,8027,false,true
vw_010,vid_ch_s01_1,18000,,true,true
vw_010,vid_ch_s07_0,9240,9240,false,true
vw_010,vid_ch_vera_1,7976,7976,false,true
vw_010,vid_ch_s19_0,12000,,true,true
vw_010,vid_ch_kai_2,9000,,true,true
vw_010,vid_ch_s17_1,2687,2687,false,true
vw_010,vid_ch_s16_1,15000,,true,true
vw_010,vid_ch_aki_1,6734,6734,false,true
vw_010,vid_ch_nova_0,3595,3595,false,true
vw_011,vid_ch_s05_0,9000,,true,true
vw_011,vid_ch_kai_0,4755,4755,false,true
vw_011,vid_ch_s21_2,15000,,true,true
vw_011,vid_ch_s06_0,7994,7994,false,true
vw_011,vid_ch_s18_2,7587,7587,false,true
vw_011,vid_ch_pix_2,15000,,true,true
vw_011,vid_ch_s08_2,15000,,true,true
vw_011,vid_ch_s02_1,9000,,true,true
vw_011,vid_ch_s05_1,5344,5344,false,true
vw_011,vid_ch_s06_2,4014,4014,false,true
vw_011,vid_ch_ray_0,6275,6275,false,true
vw_011,vid_ch_s01_1,18000,,true,true
vw_011,vid_ch_nova_0,18000,,true,true
vw_011,vid_ch_s20_0,8526,8526,false,true
vw_011,vid_ch_s03_0,18000,,true,true
vw_011,vid_ch_s16_2,8396,8396,false,true
vw_011,vid_ch_s11_3,12000,,true,true
vw_011,vid_ch_aki_2,12000,,true,true
vw_011,vid_ch_s20_1,18000,,true,true
vw_011,vid_ch_s13_0,8302,8302,false,true
vw_011,vid_ch_s16_1,3926,3926,false,true
vw_011,vid_ch_s18_0,9220,9220,false,true
vw_011,vid_ch_aki_3,15000,,true,true
vw_012,vid_ch_nova_0,10784,10784,false,true
vw_012,vid_ch_vera_0,4248,4248,false,true
vw_012,vid_ch_s12_2,10139,10139,false,true
vw_012,vid_ch_s15_1,4672,4672,false,true
vw_012,vid_ch_s16_2,3770,3770,false,true
vw_012,vid_ch_mei_1,9000,,true,true
vw_012,vid_ch_s19_0,3352,3352,false,true
vw_012,vid_ch_s04_1,18000,,true,true
vw_012,vid_ch_s12_1,6121,6121,false,true
vw_012,vid_ch_aki_3,4127,4127,false,true
vw_012,vid_ch_s02_0,5476,5476,false,true
vw_012,vid_ch_s09_1,5469,5469,false,true
vw_012,vid_ch_s21_0,15000,,true,true
vw_012,vid_ch_kai_1,15000,,true,true
vw_012,vid_ch_s12_0,9000,,true,true
vw_013,vid_ch_s20_1,10760,10760,false,true
vw_013,vid_ch_nova_0,6619,6619,false,true
vw_013,vid_ch_s06_0,15000,,true,true
vw_013,vid_ch_s03_0,18000,,true,true
vw_013,vid_ch_s19_1,12000,,true,true
vw_013,vid_ch_s19_0,7063,7063,false,true
vw_013,vid_ch_ray_1,5053,5053,false,true
vw_013,vid_ch_s12_2,7307,7307,false,true
vw_013,vid_ch_pix_1,6157,6157,false,true
vw_013,vid_ch_nova_1,12000,,true,true
vw_013,vid_ch_aki_0,4713,4713,false,true
vw_013,vid_ch_s00_0,6247,6247,false,true
vw_013,vid_ch_kai_0,4441,4441,false,true
vw_013,vid_ch_s14_1,5431,5431,false,true
vw_013,vid_ch_kai_2,9000,,true,true
vw_013,vid_ch_s15_0,5269,5269,false,true
vw_013,vid_ch_aki_2,7402,7402,false,true
vw_013,vid_ch_s16_2,18000,,true,true
vw_013,vid_ch_s02_1,9000,,true,true
vw_013,vid_ch_s18_1,8121,8121,false,true
vw_013,vid_ch_s07_1,18000,,true,true
vw_013,vid_ch_s03_1,9000,,true,true
vw_013,vid_ch_s00_1,9559,9559,false,true
vw_013,vid_ch_s16_1,15000,,true,true
vw_014,vid_ch_s14_0,5343,5343,false,true
vw_014,vid_ch_s15_1,11539,11539,false,true
vw_014,vid_ch_s18_0,9608,9608,false,true
vw_014,vid_ch_s21_1,8858,8858,false,true
vw_014,vid_ch_s13_0,9037,9037,false,true
vw_014,vid_ch_kai_1,9169,9169,false,true
vw_014,vid_ch_s04_0,5682,5682,false,true
vw_014,vid_ch_ray_1,6562,6562,false,true
vw_014,vid_ch_s03_1,4388,4388,false,true
vw_014,vid_ch_s20_1,18000,,true,true
vw_014,vid_ch_pix_1,7386,7386,false,true
vw_014,vid_ch_juno_0,12000,,true,true
vw_014,vid_ch_vera_1,5258,5258,false,true
vw_014,vid_ch_juno_1,4548,4548,false,true
vw_014,vid_ch_s15_0,3450,3450,false,true
vw_014,vid_ch_s09_0,5086,5086,false,true
vw_014,vid_ch_s03_0,18000,,true,true
vw_014,vid_ch_s06_0,6901,6901,false,true
vw_014,vid_ch_kai_0,2955,2955,false,true
vw_014,vid_ch_s05_1,6950,6950,false,true
vw_015,vid_ch_s16_2,8930,8930,false,true
vw_015,vid_ch_s13_1,15000,,true,true
vw_015,vid_ch_s10_0,18000,,true,true
vw_015,vid_ch_s02_0,12000,,true,true
vw_015,vid_ch_pix_0,18000,,true,true
vw_015,vid_ch_juno_1,5095,5095,false,true
vw_015,vid_ch_s20_1,6350,6350,false,true
vw_015,vid_ch_ray_1,2276,2276,false,true
vw_015,vid_ch_s19_3,9000,,true,true
vw_015,vid_ch_mei_1,9000,,true,true
vw_015,vid_ch_nova_1,6079,6079,false,true
vw_015,vid_ch_aki_2,12000,,true,true
vw_015,vid_ch_s04_1,11483,11483,false,true
vw_015,vid_ch_s01_1,4606,4606,false,true
vw_015,vid_ch_aki_0,9000,,true,true
vw_015,vid_ch_mei_0,9000,,true,true
vw_015,vid_ch_s06_1,15000,,true,true
vw_015,vid_ch_s05_2,5791,5791,false,true
vw_015,vid_ch_s19_1,6409,6409,false,true
vw_015,vid_ch_s20_2,2231,2231,false,true
vw_016,vid_ch_s11_0,9000,,true,true
vw_016,vid_ch_s08_2,7470,7470,false,true
vw_016,vid_ch_s19_1,3347,3347,false,true
vw_016,vid_ch_s12_3,1976,1976,false,true
vw_016,vid_ch_s07_1,18000,,true,true
vw_016,vid_ch_aki_2,5052,5052,false,true
vw_016,vid_ch_s01_0,10275,10275,false,true
vw_016,vid_ch_juno_1,9000,,true,true
vw_016,vid_ch_s13_0,15000,,true,true
vw_016,vid_ch_s12_1,6985,6985,false,true
vw_016,vid_ch_s04_2,12000,,true,true
vw_016,vid_ch_ray_0,11257,11257,false,true
vw_016,vid_ch_s02_1,4513,4513,false,true
vw_016,vid_ch_s08_0,15000,,true,true
vw_017,vid_ch_s00_0,7581,7581,false,true
vw_017,vid_ch_s16_1,15000,,true,true
